GEO_ID,GEO_LABEL,GEO_DISPLAY_NAME,,Meal Gap (# of meals needed per year for food security),Food Insecure (% of residents),SNAP Benefits (% households),Bodega to Supermarket Ratio (#)
36005006300,"Census Tract 63, Bronx County, New York",,,,19.6,31.88789001,
36005006400,"Census Tract 64, Bronx County, New York",,,,19.4,29.31937173,
36005006500,"Census Tract 65, Bronx County, New York",,,,25.5,43.2238193,
36005006700,"Census Tract 67, Bronx County, New York",,,,27.9,59.50342466,
36005006800,"Census Tract 68, Bronx County, New York",,,,16.8,23.12992126,
36005006900,"Census Tract 69, Bronx County, New York",,,,21,40.78130705,
36005007000,"Census Tract 70, Bronx County, New York",,,,14.1,35.49382716,
36005007100,"Census Tract 71, Bronx County, New York",,,,15.8,36.84738956,
36005007200,"Census Tract 72, Bronx County, New York",,,,19.4,33.49663197,
36005007300,"Census Tract 73, Bronx County, New York",,,,29.4,56.232493,
36005007400,"Census Tract 74, Bronx County, New York",,,,17,25.11312217,
36005007500,"Census Tract 75, Bronx County, New York",,,,21,47.56097561,
36005007600,"Census Tract 76, Bronx County, New York",,,,21.6,42.45508982,
36005007700,"Census Tract 77, Bronx County, New York",,,,21,29.25619835,
36005007800,"Census Tract 78, Bronx County, New York",,,,18.7,39.34813415,
36005007900,"Census Tract 79, Bronx County, New York",,,,28,62.68405553,
36005008300,"Census Tract 83, Bronx County, New York",,,,24.5,46.89018465,
36005008400,"Census Tract 84, Bronx County, New York",,,,7.3,23.55316285,
36005008500,"Census Tract 85, Bronx County, New York",,,,24.5,47.43921366,
36005008600,"Census Tract 86, Bronx County, New York",,,,24.1,56.00272851,
36005008700,"Census Tract 87, Bronx County, New York",,,,25.1,45.36082474,
36005008900,"Census Tract 89, Bronx County, New York",,,,19.3,55.41125541,
36005009000,"Census Tract 90, Bronx County, New York",,,,23.6,42.69005848,
36005009200,"Census Tract 92, Bronx County, New York",,,,20.4,34.6426623,
36005009300,"Census Tract 93, Bronx County, New York",,,,22.1,42.23272298,
36005009600,"Census Tract 96, Bronx County, New York",,,,21.1,35.65891473,
36005009800,"Census Tract 98, Bronx County, New York",,,,9.3,24.13793103,
36005011000,"Census Tract 110, Bronx County, New York",,,,15,,
36005011502,"Census Tract 115.02, Bronx County, New York",,,,26.4,60.8,
36005011700,"Census Tract 117, Bronx County, New York",,,,26.4,40.55045872,
36005011800,"Census Tract 118, Bronx County, New York",,,,9.1,3.551401869,
36005011900,"Census Tract 119, Bronx County, New York",,,,23.8,52.03125,
36005012101,"Census Tract 121.01, Bronx County, New York",,,,16.6,33.47732181,
36005012102,"Census Tract 121.02, Bronx County, New York",,,,30.8,56.36007828,
36005012300,"Census Tract 123, Bronx County, New York",,,,16.4,51.43428953,
36005012500,"Census Tract 125, Bronx County, New York",,,,22.4,43.47181009,
36005012701,"Census Tract 127.01, Bronx County, New York",,,,21.2,62.93222683,
36005012901,"Census Tract 129.01, Bronx County, New York",,,,21.1,58.64156019,
36005013000,"Census Tract 130, Bronx County, New York",,,,9.4,18.1425486,
36005013100,"Census Tract 131, Bronx County, New York",,,,22,44.42446043,
36005013200,"Census Tract 132, Bronx County, New York",,,,5.7,11.71969392,
36005013300,"Census Tract 133, Bronx County, New York",,,,24,44.47278912,
36005013500,"Census Tract 135, Bronx County, New York",,,,22.9,51.23674912,
36005013800,"Census Tract 138, Bronx County, New York",,,,10.7,14.95327103,
36005014100,"Census Tract 141, Bronx County, New York",,,,20.6,43.62969753,
36005014300,"Census Tract 143, Bronx County, New York",,,,26.8,55.29595016,
36005014400,"Census Tract 144, Bronx County, New York",,,,26.2,48.75491481,
36005014500,"Census Tract 145, Bronx County, New York",,,,26.1,64.70588235,
36005014701,"Census Tract 147.01, Bronx County, New York",,,,41.9,61.64314516,
36005014702,"Census Tract 147.02, Bronx County, New York",,,,22.4,61.9047619,
36005014900,"Census Tract 149, Bronx County, New York",,,,25.3,50.09242144,
36005015100,"Census Tract 151, Bronx County, New York",,,,19.5,37.52886836,
36005015200,"Census Tract 152, Bronx County, New York",,,,13,13.62637363,
36005015300,"Census Tract 153, Bronx County, New York",,,,23.5,48.42370744,
36005015500,"Census Tract 155, Bronx County, New York",,,,27.1,52.56525653,
36005015700,"Census Tract 157, Bronx County, New York",,,,23.2,48.4828496,
36005015800,"Census Tract 158, Bronx County, New York",,,,11.2,7.249466951,
36005015900,"Census Tract 159, Bronx County, New York",,,,23.4,65.94202899,
36005016000,"Census Tract 160, Bronx County, New York",,,,11.2,6.982703395,
36005016100,"Census Tract 161, Bronx County, New York",,,,27.8,56.84931507,
36005016200,"Census Tract 162, Bronx County, New York",,,,9.7,11.11111111,
36005016300,"Census Tract 163, Bronx County, New York",,,,15,,
36005016400,"Census Tract 164, Bronx County, New York",,,,9.9,5.311778291,
36005016500,"Census Tract 165, Bronx County, New York",,,,20.7,50.4398827,
36005016600,"Census Tract 166, Bronx County, New York",,,,9.5,6.727037516,
36005016700,"Census Tract 167, Bronx County, New York",,,,27.5,47.53146176,
36005016900,"Census Tract 169, Bronx County, New York",,,,27.4,41.17647059,
36005017100,"Census Tract 171, Bronx County, New York",,,,15,,
36005017300,"Census Tract 173, Bronx County, New York",,,,24.3,46.63507109,
36005017500,"Census Tract 175, Bronx County, New York",,,,25,56.10645279,
36005017701,"Census Tract 177.01, Bronx County, New York",,,,24.1,46.35761589,
36005017702,"Census Tract 177.02, Bronx County, New York",,,,24,52.21187427,
36005017901,"Census Tract 179.01, Bronx County, New York",,,,21.2,46.32396892,
36005017902,"Census Tract 179.02, Bronx County, New York",,,,23.5,54.56896552,
36005018101,"Census Tract 181.01, Bronx County, New York",,,,22.1,46.60287081,
36005018102,"Census Tract 181.02, Bronx County, New York",,,,26.4,38.01098231,
36005018301,"Census Tract 183.01, Bronx County, New York",,,,18.6,32.03007519,
36005018302,"Census Tract 183.02, Bronx County, New York",,,,18.3,29.31978108,
36005018400,"Census Tract 184, Bronx County, New York",,,,11.8,19.4980695,
36005018500,"Census Tract 185, Bronx County, New York",,,,27.8,55.62521769,
36005018900,"Census Tract 189, Bronx County, New York",,,,22,43.09868875,
36005019300,"Census Tract 193, Bronx County, New York",,,,27.9,47.15145901,
36005019400,"Census Tract 194, Bronx County, New York",,,,19.3,38.0627558,
36005019500,"Census Tract 195, Bronx County, New York",,,,23.7,42.5912137,
36005019700,"Census Tract 197, Bronx County, New York",,,,20.3,52.57777778,
36005019900,"Census Tract 199, Bronx County, New York",,,,21.4,43.52818372,
36005020000,"Census Tract 200, Bronx County, New York",,,,20.2,28.78151261,
36005020100,"Census Tract 201, Bronx County, New York",,,,21.8,54.78395062,
36005020200,"Census Tract 202, Bronx County, New York",,,,17.1,35.07281553,
36005020400,"Census Tract 204, Bronx County, New York",,,,14.3,20.80536913,
36005020501,"Census Tract 205.01, Bronx County, New York",,,,27.6,57.40609497,
36005020502,"Census Tract 205.02, Bronx County, New York",,,,27.1,64.50549451,
36005020601,"Census Tract 206.01, Bronx County, New York",,,,17.6,29.02055623,
36005020900,"Census Tract 209, Bronx County, New York",,,,16.1,44.70450556,
36005021001,"Census Tract 210.01, Bronx County, New York",,,,14,23.83971595,
36005021002,"Census Tract 210.02, Bronx County, New York",,,,16.1,23.88434947,
36005021100,"Census Tract 211, Bronx County, New York",,,,24.3,48.92241379,
36005021200,"Census Tract 212, Bronx County, New York",,,,15.1,14.15929204,
36005021301,"Census Tract 213.01, Bronx County, New York",,,,21,61.02449889,
36005021302,"Census Tract 213.02, Bronx County, New York",,,,23.6,53.89191869,
36005021501,"Census Tract 215.01, Bronx County, New York",,,,22.1,57.37940965,
36005021502,"Census Tract 215.02, Bronx County, New York",,,,25.5,60.47375755,
36005021601,"Census Tract 216.01, Bronx County, New York",,,,23.3,35.83081571,
36005021602,"Census Tract 216.02, Bronx County, New York",,,,19.2,23.71346233,
36005021700,"Census Tract 217, Bronx County, New York",,,,28.7,49.01727219,
36005021800,"Census Tract 218, Bronx County, New York",,,,16.3,41.42241379,
36005021900,"Census Tract 219, Bronx County, New York",,,,22.7,53.51758794,
36005022000,"Census Tract 220, Bronx County, New York",,,,27.5,52.21893491,
36005022101,"Census Tract 221.01, Bronx County, New York",,,,21.9,53.29103886,
36005022102,"Census Tract 221.02, Bronx County, New York",,,,27.2,55.53582001,
36005022200,"Census Tract 222, Bronx County, New York",,,,15.9,25.43859649,
36005022300,"Census Tract 223, Bronx County, New York",,,,21.8,47.15447154,
36005022401,"Census Tract 224.01, Bronx County, New York",,,,20.3,17.72486772,
36005022403,"Census Tract 224.03, Bronx County, New York",,,,21.3,42.20730798,
36005022404,"Census Tract 224.04, Bronx County, New York",,,,12.7,19.74904528,
36005022500,"Census Tract 225, Bronx County, New York",,,,20,46.34879725,
36005022701,"Census Tract 227.01, Bronx County, New York",,,,23.5,49.40732759,
36005022702,"Census Tract 227.02, Bronx County, New York",,,,23.2,32.06239168,
36005022703,"Census Tract 227.03, Bronx County, New York",,,,17.5,35.09369676,
36005022800,"Census Tract 228, Bronx County, New York",,,,17.6,20.19725557,
36005022901,"Census Tract 229.01, Bronx County, New York",,,,21.9,39.59390863,
36005022902,"Census Tract 229.02, Bronx County, New York",,,,22.8,54.9321267,
36005023000,"Census Tract 230, Bronx County, New York",,,,17.5,30.907173,
36005023100,"Census Tract 231, Bronx County, New York",,,,27.4,49.89010989,
36005023200,"Census Tract 232, Bronx County, New York",,,,19.5,36.34116193,
36005023301,"Census Tract 233.01, Bronx County, New York",,,,21.7,40.3236246,
36005023302,"Census Tract 233.02, Bronx County, New York",,,,23.1,60.42510121,
36005023501,"Census Tract 235.01, Bronx County, New York",,,,21.6,56.61896243,
36005023502,"Census Tract 235.02, Bronx County, New York",,,,22,50.92869982,
36005023600,"Census Tract 236, Bronx County, New York",,,,23.8,45.70957096,
36005023702,"Census Tract 237.02, Bronx County, New York",,,,23.1,52.26586103,
36005023703,"Census Tract 237.03, Bronx County, New York",,,,28.2,44.16562108,
36005023704,"Census Tract 237.04, Bronx County, New York",,,,30.2,59.69811321,
36005023800,"Census Tract 238, Bronx County, New York",,,,15.9,33.12577833,
36005023900,"Census Tract 239, Bronx County, New York",,,,25.6,50.71713147,
36005024000,"Census Tract 240, Bronx County, New York",,,,17.4,30.29595016,
36005024100,"Census Tract 241, Bronx County, New York",,,,19.2,46.8845761,
36005024300,"Census Tract 243, Bronx County, New York",,,,22.1,54.09181637,
36005024400,"Census Tract 244, Bronx County, New York",,,,11,18.63354037,
36005024501,"Census Tract 245.01, Bronx County, New York",,,,28.7,51.62601626,
36005024502,"Census Tract 245.02, Bronx County, New York",,,,23.8,59.65058236,
36005024600,"Census Tract 246, Bronx County, New York",,,,15.4,8.413793103,
36005024700,"Census Tract 247, Bronx County, New York",,,,18.8,27.04811443,
36005024800,"Census Tract 248, Bronx County, New York",,,,13.9,16,
36005024900,"Census Tract 249, Bronx County, New York",,,,15,,
36005025000,"Census Tract 250, Bronx County, New York",,,,11.6,17.65306122,
36005025100,"Census Tract 251, Bronx County, New York",,,,20.9,51.2987013,
36005025200,"Census Tract 252, Bronx County, New York",,,,11.4,7.868852459,
36005025300,"Census Tract 253, Bronx County, New York",,,,19.2,43.11111111,
36005025400,"Census Tract 254, Bronx County, New York",,,,13.1,14.91002571,
36005025500,"Census Tract 255, Bronx County, New York",,,,18.9,46.00611087,
36005025600,"Census Tract 256, Bronx County, New York",,,,21.6,18.81028939,
36005025700,"Census Tract 257, Bronx County, New York",,,,12,27.49638205,
36005026100,"Census Tract 261, Bronx County, New York",,,,5,5.671641791,
36005026300,"Census Tract 263, Bronx County, New York",,,,21.7,41.14189757,
36005026400,"Census Tract 264, Bronx County, New York",,,,9.5,13.41719078,
36005026500,"Census Tract 265, Bronx County, New York",,,,19.7,52.60707635,
36005026601,"Census Tract 266.01, Bronx County, New York",,,,10.5,16.66666667,
36005026602,"Census Tract 266.02, Bronx County, New York",,,,17.2,16.98190789,
36005026701,"Census Tract 267.01, Bronx County, New York",,,,15.9,42.6838514,
36005026702,"Census Tract 267.02, Bronx County, New York",,,,20,54.03384494,
36005026900,"Census Tract 269, Bronx County, New York",,,,16.5,38.31360947,
36005027300,"Census Tract 273, Bronx County, New York",,,,20,44.56035768,
36005027401,"Census Tract 274.01, Bronx County, New York",,,,6.5,3.759398496,
36005027402,"Census Tract 274.02, Bronx County, New York",,,,10.1,2.927927928,
36005027600,"Census Tract 276, Bronx County, New York",,,,11.2,0,
36005027700,"Census Tract 277, Bronx County, New York",,,,19.7,40.65743945,
36005027900,"Census Tract 279, Bronx County, New York",,,,12.1,21.44478064,
36005028100,"Census Tract 281, Bronx County, New York",,,,10,10.34482759,
36005028300,"Census Tract 283, Bronx County, New York",,,,27.2,56.12431444,
36005028400,"Census Tract 284, Bronx County, New York",,,,23,80.95238095,
36005028500,"Census Tract 285, Bronx County, New York",,,,15.7,11.0068793,
36005028600,"Census Tract 286, Bronx County, New York",,,,11,10.91703057,
36005028700,"Census Tract 287, Bronx County, New York",,,,14.7,20.20933977,
36005028800,"Census Tract 288, Bronx County, New York",,,,11.6,4.854368932,
36005028900,"Census Tract 289, Bronx County, New York",,,,13.6,27.11774108,
36005029301,"Census Tract 293.01, Bronx County, New York",,,,5.4,2.684563758,
36005029302,"Census Tract 293.02, Bronx County, New York",,,,8.1,5.066079295,
36005029500,"Census Tract 295, Bronx County, New York",,,,9,3.596403596,
36005029600,"Census Tract 296, Bronx County, New York",,,,12.2,12.32091691,
36005029700,"Census Tract 297, Bronx County, New York",,,,8.9,1.022248948,
36005030000,"Census Tract 300, Bronx County, New York",,,,9.3,14.3735588,
36005030100,"Census Tract 301, Bronx County, New York",,,,7.2,19.04761905,
36005030200,"Census Tract 302, Bronx County, New York",,,,13.3,9.963898917,
36005030701,"Census Tract 307.01, Bronx County, New York",,,,9.8,4.653937947,
36005030900,"Census Tract 309, Bronx County, New York",,,,9.7,5.551272167,
36005031000,"Census Tract 310, Bronx County, New York",,,,7.1,12.05392546,
36005031200,"Census Tract 312, Bronx County, New York",,,,8.5,5.123966942,
36005031400,"Census Tract 314, Bronx County, New York",,,,7.3,6.811145511,
36005031600,"Census Tract 316, Bronx County, New York",,,,9.6,10.01564945,
36005031800,"Census Tract 318, Bronx County, New York",,,,13.8,6.423611111,
36005031900,"Census Tract 319, Bronx County, New York",,,,34,n,
36005032300,"Census Tract 323, Bronx County, New York",,,,10.1,4.670558799,
36005032400,"Census Tract 324, Bronx County, New York",,,,31.5,44.51510334,
36005032600,"Census Tract 326, Bronx County, New York",,,,11.2,17.02728128,
36005032800,"Census Tract 328, Bronx County, New York",,,,21.2,41.91742477,
36005033000,"Census Tract 330, Bronx County, New York",,,,20.5,35.93236261,
36005033201,"Census Tract 332.01, Bronx County, New York",,,,18.7,32.85522187,
36005033202,"Census Tract 332.02, Bronx County, New York",,,,16.1,26.62178703,
36005033400,"Census Tract 334, Bronx County, New York",,,,12.2,0,
36005033500,"Census Tract 335, Bronx County, New York",,,,8.3,5.769230769,
36005033600,"Census Tract 336, Bronx County, New York",,,,23.6,37.41470811,
36005033700,"Census Tract 337, Bronx County, New York",,,,8.7,3.229527105,
36005033800,"Census Tract 338, Bronx County, New York",,,,20.2,34.59649123,
36005034000,"Census Tract 340, Bronx County, New York",,,,18.6,33.00330033,
36005034200,"Census Tract 342, Bronx County, New York",,,,12.5,24.51154529,
36005034300,"Census Tract 343, Bronx County, New York",,,,10.7,11.87943262,
36005034400,"Census Tract 344, Bronx County, New York",,,,10.3,19.84251969,
36005034500,"Census Tract 345, Bronx County, New York",,,,15.5,18.2284041,
36005034800,"Census Tract 348, Bronx County, New York",,,,13.5,28.07357212,
36005035000,"Census Tract 350, Bronx County, New York",,,,7.1,18.50152905,
36005035100,"Census Tract 351, Bronx County, New York",,,,11.2,8.297690334,
36005035600,"Census Tract 356, Bronx County, New York",,,,9.7,10.97046414,
36005035800,"Census Tract 358, Bronx County, New York",,,,11.5,15.47277937,
36005035900,"Census Tract 359, Bronx County, New York",,,,26.2,54.50704225,
36005036000,"Census Tract 360, Bronx County, New York",,,,10.5,13.28293737,
